# 0 = time (write this way for splash) step: 0
#           x           vx    num    pmass       smooth          rho     pressure       utherm  numngb
         -0.6            0      0   0.001875        0.015       0.5401       0.5401          2.5      15
     -0.59812            0      1   0.001875        0.015       0.6216       0.6216          2.5      16
     -0.59624            0      2   0.001875        0.015      0.69805      0.69805          2.5      17
     -0.59436            0      3   0.001875        0.015      0.76702      0.76702          2.5      18
     -0.59248            0      4   0.001875        0.015       0.8268       0.8268          2.5      19
      -0.5906            0      5   0.001875        0.015       0.8764       0.8764          2.5      20
     -0.58871            0      6   0.001875        0.015      0.91559      0.91559          2.5      21
     -0.58683            0      7   0.001875        0.015      0.94489      0.94489          2.5      22
     -0.58495            0      8   0.001875        0.015      0.96553      0.96553          2.5      23
     -0.58307            0      9   0.001875        0.015      0.97932      0.97932          2.5      24
     -0.58119            0     10   0.001875        0.015      0.98797      0.98797          2.5      25
     -0.57931            0     11   0.001875        0.015      0.99295      0.99295          2.5      26
     -0.57743            0     12   0.001875        0.015      0.99548      0.99548          2.5      27
     -0.57555            0     13   0.001875        0.015      0.99654      0.99654          2.5      28
     -0.57367            0     14   0.001875        0.015      0.99684      0.99684          2.5      29
     -0.57179            0     15   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.56991            0     16   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.56803            0     17   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.56614            0     18   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.56426            0     19   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.56238            0     20   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.5605            0     21   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.55862            0     22   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.55674            0     23   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.55486            0     24   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.55298            0     25   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.5511            0     26   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.54922            0     27   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.54734            0     28   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.54545            0     29   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.54357            0     30   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.54169            0     31   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53981            0     32   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53793            0     33   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53605            0     34   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53417            0     35   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53229            0     36   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.53041            0     37   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.52853            0     38   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.52665            0     39   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.52476            0     40   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.52288            0     41   0.001875        0.015      0.99688      0.99688          2.5      30
       -0.521            0     42   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.51912            0     43   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.51724            0     44   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.51536            0     45   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.51348            0     46   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.5116            0     47   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50972            0     48   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50784            0     49   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50596            0     50   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50408            0     51   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50219            0     52   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.50031            0     53   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.49843            0     54   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.49655            0     55   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.49467            0     56   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.49279            0     57   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.49091            0     58   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.48903            0     59   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.48715            0     60   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.48527            0     61   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.48339            0     62   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.4815            0     63   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.47962            0     64   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.47774            0     65   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.47586            0     66   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.47398            0     67   0.001875        0.015      0.99688      0.99688          2.5      30
      -0.4721            0     68   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.47022            0     69   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.46834            0     70   0.001875        0.015      0.99688      0.99688          2.5      30
     -0.46646            0     71   0.001875        0.015      0.99688      0.99688          2.5      30
